,ds,ticker,open,high,low,close,volume,SMA,EMA,RSI,MACD,%K,%D
71,2024-12-31,TSLA,423.7900085449219,427.9299926757813,402.5400085449219,403.8399963378906,76825100,437.71400146484376,413.26677682527793,50.56847780843158,23.74423484232915,1.6945118303426745,25.80713523545234
72,2025-01-02,TSLA,390.1000061035156,392.7300109863281,373.0400085449219,379.2799987792969,109710700,427.6560028076172,410.0299408208988,40.95446429351641,18.279359749501168,5.402588947510822,11.42838047043652
73,2025-01-03,TSLA,381.4800109863281,411.8800048828125,379.4500122070313,410.4400024414063,95423300,424.68700256347654,410.0689943085662,48.612016300374236,16.27514896036547,32.380947096523315,13.159349291458938
74,2025-01-06,TSLA,423.2000122070313,426.4299926757813,401.7000122070313,411.0499877929688,85516500,422.175,410.16242225946166,45.128080676389274,14.568086359197252,32.909072942031976,23.564202995355373
75,2025-01-07,TSLA,405.8299865722656,414.3299865722656,390.0,394.3599853515625,75699500,419.5049987792969,408.65742826823316,36.175094620846224,11.733229865985265,18.45885437804383,27.916291472199706
76,2025-01-08,TSLA,392.9500122070313,402.5,387.3999938964844,394.9400024414063,73038800,415.9389984130859,407.35100676091633,31.703011332508012,9.424745602219957,18.961033676609897,23.442986998895236
77,2025-01-10,TSLA,391.3999938964844,399.2799987792969,377.2900085449219,394.739990234375,62287300,409.18499755859375,406.1499575679124,38.21222465549842,7.492744187002813,23.51282571876205,20.31090459113859
78,2025-01-13,TSLA,383.2099914550781,403.7900085449219,380.0700073242188,403.30999755859375,67580500,404.1029968261719,405.8794851860725,41.665819128359104,6.577327774311698,32.79878233875346,25.090880578041805
79,2025-01-14,TSLA,414.3399963378906,422.6400146484375,394.5400085449219,396.3599853515625,84565000,400.5729949951172,404.97286615421444,43.464915127949986,5.230748952704346,25.268157285432835,27.193255114316116
80,2025-01-15,TSLA,409.8999938964844,429.7999877929688,405.6600036621094,428.2200012207031,81375500,401.65399475097655,407.18687901768953,49.436818662368495,6.65766710821174,59.789799342494675,39.285579655560326
