published_at,ticker,title,desc,url,source,sentiment,sentiment_score
2025-07-21 18:00:20+00:00,META,"Meta (META) Appeals VAT Claim in Italy, Signaling Major EU Tax Implications | META Stock News","Meta (META) is joining forces with other tech giants to challenge a Value Added Tax (VAT) assessment by Italian authorities. This legal action, as reported by s",https://www.gurufocus.com/news/2991129/meta-meta-appeals-vat-claim-in-italy-signaling-major-eu-tax-implications-meta-stock-news,gurufocus.com,,
2025-07-21 16:56:12+00:00,META,Meta Platforms (META) Challenges Italian VAT Ruling in EU Appeal,"Meta Platforms (META) challenges a $1.03 billion VAT claim in Italy, potentially influencing tech regulations across Europe.    Analyst forecasts suggest a",https://www.gurufocus.com/news/2990948/meta-platforms-meta-challenges-italian-vat-ruling-in-eu-appeal,gurufocus.com,,
2025-06-21 17:51:38+00:00,META,Apple Executives Have Held Internal Talks About Buying AI Startup Perplexity,"Apple Inc. executives have held internal discussions about potentially bidding for artificial intelligence startup Perplexity AI, seeking to address the need for more AI talent and technology. Adrian Perica, the company’s head of mergers and acquisitions, has weighed the idea with services chief Eddy Cue and top AI decision-makers, according to people with knowledge of the matter. The discussions are at an early stage and may not lead to an offer, said the people.",https://www.ndtvprofit.com/technology/apple-executives-have-held-internal-talks-about-buying-ai-startup-perplexity,bloombergquint.com,,
2025-06-21 10:28:22+00:00,META,"After Zuckerberg spent billions on an AI 'dream team,' he has to deliver for Meta shareholders","Meta CEO Mark Zuckerberg has been on a two-week spending binge, hiring the priciest AI developers in an effort to make up for past setbacks.",https://www.cnbc.com/2025/06/21/metas-zuckerberg-has-to-win-ai-after-billions-spent-on-dream-team.html,cnbc.com,,
2025-06-21 07:10:58+00:00,META,Apple executives have held internal talks about buying AI startup Perplexity,Apple considers acquiring AI startup Perplexity to boost AI capabilities amid potential loss of Google partnership.,https://www.thehindubusinessline.com/info-tech/apple-executives-have-held-internal-talks-about-buying-ai-startup-perplexity/article69720519.ece,thehindubusinessline.com,,
2025-05-22 22:30:00+00:00,META,"AI, Chips, Humanoid Robots: Top Takeaways From Computex 2025","ZeroHedge - On a long enough timeline, the survival rate for everyone drops to zero",https://www.zerohedge.com/technology/ai-chips-humanoid-robots-top-takeaways-computex-2025,zerohedge.com,,
2025-05-22 21:56:24+00:00,META,Meta (META) Downgraded to Sell Amid Rising Costs and Risks,"Key Insights:
  Gary Alexander downgrades Meta (META) from hold to sell due to capital expenditure concerns.  Analysts see a potential upside for Meta with pric",https://www.gurufocus.com/news/2884670/meta-meta-downgraded-to-sell-amid-rising-costs-and-risks,gurufocus.com,,
2025-05-22 15:56:33+00:00,META,Meta's Upside Jumps Nearly 40% as Loop Capital Raises Target,"Meta Platforms (META) gained fresh momentum after Loop Capital lifted its price target to $888 from $695, while keeping a Buy rating, according to a Thursday re",https://www.gurufocus.com/news/2883391/metas-upside-jumps-nearly-40-as-loop-capital-raises-target,gurufocus.com,,
2025-04-22 17:42:00+00:00,META,"Meta Platforms, Inc. (META): Among Stocks That Could 10X Over the Next 2 Years","We recently published a list of 9 Stocks That Could 10X Over the Next 2 Years. In this article, we are going to take a look at where Meta Platforms, Inc. (NASDAQ:META) stands against other stocks that could 10X over the next 2 years. US Tariffs and the Stock Market Turmoil While tariffs from the […]",https://finance.yahoo.com/news/meta-platforms-inc-meta-among-174200222.html,finance.yahoo.com,,
2025-04-22 16:09:30+00:00,META,"Amazon Debunks Rumor That Hurt Nvidia; Gold Hits $3500, Yen Hits 140; Stocks Bounce On India Talks - SPDR Gold Trust (ARCA:GLD)","To gain an edge, this is what you need to know today.",https://www.benzinga.com/news/earnings/25/04/44929370/amazon-debunks-rumor-that-hurt-nvidia-gold-hits-3500-yen-hits-140-stocks-bounce-on-india-talks,benzinga.com,,
